X Y Z
33.952237 16.817389 0.000000
33.906748 17.846469 0.000000
33.960675 18.881114 0.000000
33.918637 19.863174 0.000000
33.939747 20.874624 0.000000
33.899784 21.862944 0.000000
33.945745 22.857214 0.000000
33.931470 24.892671 0.000000
33.917569 25.875251 0.000000
33.896212 26.826857 0.000000
33.968481 27.820540 0.000000
33.917595 28.836400 0.000000
34.966549 14.882023 0.000000
34.900859 15.863294 0.000000
34.937197 17.824249 0.000000
34.931904 18.908655 0.000000
34.917881 19.888286 0.000000
34.945056 20.825111 0.000000
34.962256 21.859621 0.000000
34.936675 22.852279 0.000000
34.926424 23.909157 0.000000
34.884092 26.870203 0.000000
34.977424 27.850175 0.000000
35.899762 15.841508 0.000000
35.893070 16.867298 0.000000
35.972377 17.821000 0.000000
35.882594 18.864720 0.000000
35.930687 19.820798 0.000000
35.911741 20.830946 0.000000
35.921465 21.824322 0.000000
35.951409 22.882265 0.000000
35.972065 23.834580 0.000000
35.909710 24.901990 0.000000
35.882546 25.851005 0.000000
35.890292 26.886994 0.000000
35.951841 27.861803 0.000000
36.959183 15.891651 0.000000
36.921506 16.871472 0.000000
36.974701 18.854535 0.000000
36.909211 19.894709 0.000000
36.891732 20.859250 0.000000
36.896481 21.854707 0.000000
36.958907 22.906306 0.000000
36.901249 23.821439 0.000000
36.936085 24.841604 0.000000
36.948847 26.879715 0.000000
36.922726 27.911179 0.000000
37.938828 15.886781 0.000000
37.928361 16.872610 0.000000
37.918670 17.898006 0.000000
37.886317 18.897456 0.000000
37.946668 19.814849 0.000000
37.881455 20.891809 0.000000
37.911998 21.818097 0.000000
37.918653 22.908613 0.000000
37.945781 23.835563 0.000000
37.929371 24.817058 0.000000
37.960809 25.870698 0.000000
37.948311 26.848452 0.000000
38.955273 16.890950 0.000000
38.903423 17.855436 0.000000
38.924868 18.893848 0.000000
38.932389 19.849610 0.000000
38.957240 20.857745 0.000000
38.917340 21.825701 0.000000
38.973162 22.888588 0.000000
38.915679 23.898312 0.000000
38.951561 24.900617 0.000000
38.889496 25.878678 0.000000
38.924767 26.862936 0.000000
39.970389 16.858162 0.000000
39.964724 17.854723 0.000000
39.935995 18.821619 0.000000
39.970936 19.852368 0.000000
39.960869 20.826304 0.000000
39.954728 22.872040 0.000000
39.926270 23.854186 0.000000
39.899236 24.877664 0.000000
39.892238 25.850681 0.000000
40.889509 16.867779 0.000000
40.900010 17.891020 0.000000
40.957009 18.833601 0.000000
40.919233 19.884106 0.000000
40.935875 20.833659 0.000000
40.973054 21.882448 0.000000
40.901726 22.831620 0.000000
40.904062 23.884080 0.000000
40.884468 24.871625 0.000000
40.947490 25.909848 0.000000
41.945130 19.849375 0.000000
41.968161 20.836044 0.000000
41.974132 21.873864 0.000000
41.893094 23.911578 0.000000
41.964324 24.846910 0.000000
41.938054 25.873624 0.000000
42.964772 24.836589 0.000000
11.928150 20.823355 10.000000
11.977743 21.866470 10.000000
11.954709 23.868715 10.000000
11.945453 25.824045 10.000000
11.900846 27.911827 10.000000
11.927599 28.875827 10.000000
11.948237 29.860467 10.000000
11.909822 30.826757 10.000000
11.955580 31.820436 10.000000
12.963458 15.889211 10.000000
12.922730 16.907431 10.000000
12.897067 17.850673 10.000000
12.970838 18.866340 10.000000
12.961196 20.865008 10.000000
12.930831 21.887305 10.000000
12.911686 22.889652 10.000000
12.932802 23.892149 10.000000
12.887869 24.880215 10.000000
12.954498 25.817697 10.000000
12.965426 26.836064 10.000000
12.943417 28.854685 10.000000
12.890160 29.823167 10.000000
12.964986 30.889098 10.000000
12.892241 31.830814 10.000000
12.942449 32.909650 10.000000
13.924990 13.884574 10.000000
13.951678 14.855805 10.000000
13.934330 15.815606 10.000000
13.900137 16.890844 10.000000
13.915963 17.884934 10.000000
13.940818 19.881536 10.000000
13.934034 20.815711 10.000000
13.975573 22.909160 10.000000
13.968408 23.887831 10.000000
13.917826 25.891521 10.000000
13.947051 26.899715 10.000000
13.975728 27.879531 10.000000
13.920636 28.876112 10.000000
13.942686 29.846992 10.000000
13.935970 30.869652 10.000000
13.960290 32.855407 10.000000
14.896856 13.880232 10.000000
14.940334 14.862574 10.000000
14.941831 15.868470 10.000000
14.959968 16.904719 10.000000
14.945837 17.872853 10.000000
14.913572 18.848426 10.000000
14.969185 19.850326 10.000000
14.948495 20.822060 10.000000
14.944352 21.910373 10.000000
14.930015 22.886743 10.000000
14.921179 23.824457 10.000000
